,max_depth,sessions_count,sessions_typ_count
0,0,1240756,357
1,1,370330,405
2,2,215877,545
3,3,142197,591
4,4,103196,603
5,5,77384,528
6,6,59662,560
7,7,46850,529
8,8,38070,474
9,9,30588,482
10,10,25405,456
11,11,21175,412
12,12,17911,370
13,13,15501,412
14,14,12769,372
15,15,11237,318
16,16,9607,322
17,17,8517,278
18,18,7362,287
19,19,6661,263
20,20,5843,267
21,21,5375,281
22,22,4482,185
23,23,4120,233
24,24,3824,193
25,25,3443,199
26,26,3087,173
27,27,2817,188
28,28,2555,162
29,29,2341,145
30,30,2114,169
31,31,1979,131
32,32,1801,127
33,33,1640,116
34,34,1569,116
35,35,1450,127
36,36,1226,85
37,37,1259,104
38,38,1129,108
39,39,1058,78
40,40,926,64
41,41,964,105
42,42,844,81
43,43,761,70
44,44,767,84
45,45,750,81
46,46,711,76
47,47,649,73
48,48,623,62
49,49,593,60
50,50,512,61
51,51,512,57
52,52,469,37
53,53,484,40
54,54,426,50
55,55,395,32
56,56,402,50
57,57,377,39
58,58,390,42
59,59,331,35
60,60,328,44
61,61,332,38
62,62,307,36
63,63,294,41
64,64,275,28
65,65,265,34
66,66,278,32
67,67,223,21
68,68,257,37
69,69,206,26
70,70,211,17
71,71,195,18
72,72,204,28
73,73,179,19
74,74,171,19
75,75,174,31
76,76,183,19
77,77,154,14
78,78,157,18
79,79,140,21
80,80,162,19
81,81,149,19
82,82,132,7
83,83,134,19
84,84,128,11
85,85,125,14
86,86,126,6
87,87,122,12
88,88,126,11
89,89,113,17
90,90,109,10
91,91,97,15
92,92,116,15
93,93,103,16
94,94,101,7
95,95,100,13
96,96,95,10
97,97,108,16
98,98,97,13
99,99,77,11
100,100,92,7
101,101,76,12
102,102,86,7
103,103,84,4
104,104,79,13
105,105,81,3
106,106,81,8
107,107,75,6
108,108,92,11
109,109,72,3
110,110,61,5
111,111,65,5
112,112,71,13
113,113,77,9
114,114,70,6
115,115,60,5
116,116,59,6
117,117,65,8
118,118,64,10
119,119,58,9
120,120,64,7
121,121,58,9
122,122,50,2
123,123,61,9
124,124,60,8
125,125,47,2
126,126,41,7
127,127,62,3
128,128,59,4
129,129,49,4
130,130,50,4
131,131,50,7
132,132,55,6
133,133,47,2
134,134,57,2
135,135,57,7
136,136,46,7
137,137,35,3
138,138,45,3
139,139,40,6
140,140,49,4
141,141,44,8
142,142,44,2
143,143,31,4
144,144,49,1
145,145,45,3
146,146,37,6
147,147,37,5
148,148,49,5
149,149,26,3
150,150,42,4
151,151,37,7
152,152,37,3
153,153,32,2
154,154,40,4
155,155,37,2
156,156,32,2
157,157,33,6
158,158,37,5
159,159,37,2
160,160,32,2
161,161,30,3
162,162,29,3
163,163,20,1
164,164,29,3
165,165,31,4
166,166,40,2
167,167,23,3
168,168,34,7
169,169,26,1
170,170,27,2
171,171,33,4
172,172,33,6
173,173,30,5
174,174,32,2
175,175,30,3
176,176,34,3
177,177,22,5
178,178,28,3
179,179,35,2
180,180,24,3
181,181,24,3
182,182,22,2
183,183,26,3
184,184,23,0
185,185,20,1
186,186,28,7
187,187,31,3
188,188,25,2
189,189,25,2
190,190,21,2
191,191,24,2
192,192,32,2
193,193,17,1
194,194,17,1
195,195,22,3
196,196,18,1
197,197,27,5
198,198,24,1
199,199,28,3
200,200,22,3
201,201,19,2
202,202,23,3
203,203,19,1
204,204,23,1
205,205,22,1
206,206,19,4
207,207,18,2
208,208,19,0
209,209,14,2
210,210,13,0
211,211,23,1
212,212,21,2
213,213,20,1
214,214,20,2
215,215,28,3
216,216,12,2
217,217,20,1
218,218,11,1
219,219,29,0
220,220,21,1
221,221,15,3
222,222,19,2
223,223,16,1
224,224,18,1
225,225,22,1
226,226,24,4
227,227,25,3
228,228,20,4
229,229,20,0
230,230,19,1
231,231,15,2
232,232,16,2
233,233,12,3
234,234,16,2
235,235,19,2
236,236,14,0
237,237,12,1
238,238,19,2
239,239,20,0
240,240,19,2
241,241,16,2
242,242,18,2
243,243,16,1
244,244,20,3
245,245,20,2
246,246,16,1
247,247,20,1
248,248,16,1
249,249,18,2
250,250,27,2
251,251,19,1
252,252,11,0
253,253,19,2
254,254,13,0
255,255,10,0
256,256,19,3
257,257,14,1
258,258,16,1
259,259,14,2
260,260,19,3
261,261,14,3
262,262,10,0
263,263,7,0
264,264,11,1
265,265,13,2
266,266,11,1
267,267,16,2
268,268,17,3
269,269,11,0
270,270,16,3
271,271,14,2
272,272,16,1
273,273,18,0
274,274,21,2
275,275,8,2
276,276,13,3
277,277,21,2
278,278,7,0
279,279,14,1
280,280,11,0
281,281,12,2
282,282,18,4
283,283,14,3
284,284,13,2
285,285,7,0
286,286,5,1
287,287,17,1
288,288,17,1
289,289,13,3
290,290,9,1
291,291,10,1
292,292,16,0
293,293,14,1
294,294,15,0
295,295,16,1
296,296,15,1
297,297,11,0
298,298,10,3
299,299,7,1
300,300,12,3
301,301,22,1
302,302,13,2
303,303,12,1
304,304,14,0
305,305,7,0
306,306,16,2
307,307,9,0
308,308,15,1
309,309,16,1
310,310,9,0
311,311,10,0
312,312,13,0
313,313,10,1
314,314,7,1
315,315,11,0
316,316,13,0
317,317,11,1
318,318,11,0
319,319,10,1
320,320,8,0
321,321,13,0
322,322,10,1
323,323,13,2
324,324,16,2
325,325,11,1
326,326,14,1
327,327,13,1
328,328,8,1
329,329,13,1
330,330,13,0
331,331,6,2
332,332,14,1
333,333,12,4
334,334,8,1
335,335,10,2
336,336,5,0
337,337,7,1
338,338,11,1
339,339,13,1
340,340,9,1
341,341,5,1
342,342,13,1
343,343,10,1
344,344,7,2
345,345,11,1
346,346,10,0
347,347,13,0
348,348,8,0
349,349,11,1
350,350,14,0
351,351,12,2
352,352,12,0
353,353,8,1
354,354,7,1
355,355,10,1
356,356,13,1
357,357,6,1
358,358,3,0
359,359,13,1
360,360,2,0
361,361,8,1
362,362,5,0
363,363,5,0
364,364,10,0
365,365,12,0
366,366,15,1
367,367,7,1
368,368,12,1
369,369,9,1
370,370,9,1
371,371,4,0
372,372,8,1
373,373,9,1
374,374,15,2
375,375,16,3
376,376,13,2
377,377,17,2
378,378,4,0
379,379,5,0
380,380,5,0
381,381,11,2
382,382,7,0
383,383,11,0
384,384,7,1
385,385,9,0
386,386,9,1
387,387,7,0
388,388,11,3
389,389,6,0
390,390,6,0
391,391,4,0
392,392,6,0
393,393,4,0
394,394,5,0
395,395,10,1
396,396,7,2
397,397,13,2
398,398,13,0
399,399,7,0
400,400,4,0
401,401,9,1
402,402,15,1
403,403,8,1
404,404,9,1
405,405,11,0
406,406,12,2
407,407,8,0
408,408,10,3
409,409,7,0
410,410,4,2
411,411,6,1
412,412,9,0
413,413,6,1
414,414,8,1
415,415,7,1
416,416,13,0
417,417,5,0
418,418,4,0
419,419,9,2
420,420,3,0
421,421,2,0
422,422,2,0
423,423,7,0
424,424,6,0
425,425,6,0
426,426,4,0
427,427,12,1
428,428,11,0
429,429,8,0
430,430,5,0
431,431,8,0
432,432,10,1
433,433,6,1
434,434,7,0
435,435,9,0
436,436,8,1
437,437,4,0
438,438,6,0
439,439,8,1
440,440,7,0
441,441,7,3
442,442,8,0
443,443,9,0
444,444,5,1
445,445,4,0
446,446,11,1
447,447,4,0
448,448,6,0
449,449,5,0
450,450,7,0
451,451,7,0
452,452,10,0
453,453,5,0
454,454,11,1
455,455,11,0
456,456,9,1
457,457,8,0
458,458,6,3
459,459,8,0
460,460,2,0
461,461,4,1
462,462,5,0
463,463,7,1
464,464,3,0
465,465,7,0
466,466,8,0
467,467,8,1
468,468,5,1
469,469,4,1
470,470,6,1
471,471,7,0
472,472,6,0
473,473,5,1
474,474,10,2
475,475,5,0
476,476,8,1
477,477,4,2
478,478,4,1
479,479,6,2
480,480,11,2
481,481,7,2
482,482,5,0
483,483,11,2
484,484,6,0
485,485,5,1
486,486,7,1
487,487,8,1
488,488,4,0
489,489,3,0
490,490,8,0
491,491,9,1
492,492,11,1
493,493,5,0
494,494,1,0
495,495,9,0
496,496,6,0
497,497,8,0
498,498,9,2
499,499,7,1
500,500,7,0
501,501,2,0
502,502,1,1
503,503,6,1
504,504,9,1
505,505,8,0
506,506,4,0
507,507,6,0
508,508,5,0
509,509,6,0
510,510,2,1
511,511,5,0
512,512,5,0
513,513,8,1
514,514,7,0
515,515,4,0
516,516,7,0
517,517,9,0
518,518,6,1
519,519,6,0
520,520,3,0
521,521,7,0
522,522,5,0
523,523,6,0
524,524,4,1
525,525,5,0
526,526,6,1
527,527,8,0
528,528,6,0
529,529,5,0
530,530,6,1
531,531,5,2
532,532,6,2
533,533,4,0
534,534,6,0
535,535,4,0
536,536,3,0
537,537,10,1
538,538,2,0
539,539,8,1
540,540,7,2
541,541,9,0
542,542,7,1
543,543,7,0
544,544,8,1
545,545,11,1
546,546,11,1
547,547,6,2
548,548,7,0
549,549,8,0
550,550,6,1
551,551,8,1
552,552,3,0
553,553,4,0
554,554,2,1
555,555,5,1
556,556,4,1
557,557,3,0
558,558,8,0
559,559,3,1
560,560,5,0
561,561,3,0
562,562,4,1
563,563,5,0
564,564,3,0
565,565,10,2
566,566,2,0
567,567,4,0
568,568,7,1
569,569,6,2
570,570,3,0
571,571,7,1
572,572,4,0
573,573,4,0
574,574,8,1
575,575,6,0
576,576,2,0
577,577,6,1
578,578,10,2
579,579,4,0
580,580,3,1
581,581,9,0
582,582,7,2
583,583,6,1
584,584,5,0
585,585,5,1
586,586,4,0
587,587,4,0
588,588,7,0
589,589,4,0
590,590,1,0
591,591,2,0
592,592,5,0
593,593,1,0
594,594,1,0
595,595,3,0
596,596,5,1
597,597,6,1
598,598,3,1
599,599,9,0
600,600,5,1
601,601,3,1
602,602,5,0
603,603,8,0
604,604,8,0
605,605,6,1
606,606,2,0
607,607,6,0
608,608,6,0
609,609,7,0
610,610,3,0
611,611,10,3
612,612,3,0
613,613,3,1
614,614,2,1
615,615,4,0
616,616,5,1
617,617,4,1
618,618,3,0
619,619,3,0
620,620,6,1
621,621,4,0
622,622,2,0
623,623,9,0
624,624,8,0
625,625,6,1
626,626,7,0
627,627,4,0
628,628,4,0
629,629,4,0
630,630,5,1
631,631,3,0
632,632,6,1
633,633,8,0
634,634,5,2
635,635,7,2
636,636,5,1
637,637,3,1
638,638,2,0
639,639,9,1
640,640,5,1
641,641,6,0
642,642,3,1
643,643,6,1
644,644,3,0
645,645,2,0
646,646,4,0
647,647,6,1
648,648,9,2
649,649,4,0
650,650,3,0
651,651,3,0
652,652,8,0
653,653,1,0
654,655,2,0
655,656,3,0
656,657,6,0
657,658,4,2
658,659,4,1
659,660,3,0
660,661,8,1
661,662,1,0
662,663,11,2
663,664,5,0
664,665,2,0
665,666,5,1
666,667,7,2
667,668,2,0
668,669,2,0
669,670,2,0
670,671,5,0
671,672,2,0
672,673,3,0
673,674,5,0
674,675,2,0
675,676,5,0
676,677,5,0
677,678,2,0
678,679,7,0
679,680,1,0
680,681,2,0
681,682,2,0
682,683,3,1
683,684,4,1
684,685,4,0
685,686,3,0
686,687,3,0
687,688,4,0
688,689,6,0
689,690,2,0
690,691,4,0
691,692,4,0
692,693,6,1
693,694,5,0
694,695,2,0
695,696,2,0
696,697,6,1
697,698,5,0
698,699,5,0
699,700,4,0
700,701,4,1
701,702,3,0
702,703,4,0
703,704,5,1
704,705,5,1
705,706,3,0
706,707,3,0
707,708,3,1
708,709,2,0
709,710,5,0
710,711,2,0
711,712,3,0
712,713,8,1
713,714,2,1
714,715,3,0
715,716,7,3
716,717,4,1
717,718,4,0
718,719,3,0
719,721,6,1
720,722,1,0
721,723,6,1
722,724,1,0
723,725,3,0
724,726,10,0
725,727,7,1
726,728,7,1
727,729,3,0
728,730,1,0
729,731,3,0
730,732,4,1
731,733,6,1
732,734,3,0
733,735,5,1
734,736,1,0
735,737,3,0
736,738,3,0
737,739,1,0
738,740,4,0
739,742,3,1
740,743,7,2
741,744,7,1
742,745,7,2
743,746,3,0
744,747,5,0
745,748,5,0
746,749,2,0
747,750,2,0
748,751,2,0
749,752,4,1
750,753,3,0
751,754,3,1
752,755,2,0
753,756,3,1
754,757,5,0
755,758,4,0
756,760,3,1
757,761,6,2
758,762,9,1
759,763,3,1
760,764,6,3
761,765,3,0
762,766,4,0
763,767,4,2
764,768,3,0
765,769,3,0
766,770,2,0
767,771,3,1
768,772,3,1
769,773,2,0
770,774,2,0
771,775,3,0
772,776,5,0
773,777,4,1
774,778,3,0
775,779,1,0
776,780,1,0
777,781,6,0
778,782,3,1
779,783,3,1
780,784,2,2
781,785,3,0
782,786,1,0
783,787,6,1
784,788,1,0
785,789,4,0
786,790,4,0
787,791,1,0
788,793,5,0
789,794,2,0
790,795,3,0
791,796,2,0
792,797,6,1
793,798,2,0
794,799,2,1
795,800,4,0
796,801,4,0
797,802,8,0
798,803,4,1
799,804,1,0
800,805,5,0
801,806,3,0
802,807,5,2
803,808,2,0
804,809,3,1
805,810,2,0
806,811,3,0
807,812,2,0
808,813,2,0
809,814,2,0
810,815,4,0
811,816,6,0
812,817,1,0
813,818,1,0
814,819,4,0
815,820,3,0
816,821,4,0
817,822,2,0
818,823,2,1
819,824,3,0
820,825,1,1
821,826,5,1
822,827,4,0
823,828,2,1
824,829,2,0
825,830,1,0
826,831,4,0
827,832,2,0
828,833,3,1
829,834,3,1
830,836,3,0
831,837,1,0
832,838,6,0
833,839,1,0
834,840,3,0
835,841,2,0
836,842,5,0
837,843,3,0
838,844,3,1
839,846,2,0
840,847,2,1
841,848,1,0
842,849,4,0
843,850,2,0
844,851,3,0
845,853,4,0
846,855,2,0
847,857,2,0
848,858,3,1
849,859,3,0
850,860,4,1
851,861,3,1
852,862,1,0
853,863,4,0
854,864,1,0
855,865,2,0
856,866,2,0
857,867,3,0
858,868,2,1
859,869,4,0
860,870,3,0
861,871,3,0
862,872,2,2
863,873,1,0
864,874,6,1
865,875,9,1
866,876,7,0
867,877,3,0
868,878,1,0
869,879,6,1
870,880,1,0
871,881,3,0
872,882,2,0
873,883,3,1
874,884,2,0
875,885,3,0
876,886,5,0
877,887,2,1
878,888,2,0
879,889,4,0
880,890,6,0
881,891,3,0
882,892,1,0
883,893,2,1
884,894,3,1
885,895,4,0
886,896,4,0
887,898,2,0
888,900,4,0
889,901,2,2
890,902,7,2
891,903,3,1
892,904,1,0
893,905,3,1
894,906,3,0
895,907,4,0
896,908,1,1
897,910,2,0
898,911,4,1
899,912,2,0
900,913,2,0
901,914,5,1
902,915,3,0
903,916,4,1
904,917,2,0
905,918,1,0
906,919,2,0
907,921,5,1
908,922,3,0
909,923,2,0
910,924,1,1
911,925,3,1
912,926,4,0
913,927,1,0
914,928,1,0
915,929,3,0
916,930,1,0
917,931,4,1
918,932,3,1
919,933,2,0
920,934,4,1
921,935,3,0
922,936,4,0
923,937,3,1
924,938,4,1
925,939,1,0
926,940,3,0
927,941,3,0
928,942,3,0
929,943,1,0
930,944,2,0
931,945,3,0
932,946,3,1
933,947,1,1
934,948,5,1
935,949,2,1
936,950,1,0
937,952,3,0
938,953,2,0
939,954,4,1
940,955,2,0
941,956,4,0
942,957,5,0
943,958,2,1
944,959,1,0
945,961,3,0
946,962,1,0
947,964,3,1
948,965,3,1
949,966,1,1
950,967,2,0
951,968,3,0
952,969,1,0
953,970,2,0
954,971,3,1
955,972,3,0
956,973,3,0
957,974,2,1
958,975,3,0
959,976,2,0
960,977,1,0
961,978,1,0
962,979,5,0
963,980,1,0
964,981,2,0
965,982,2,0
966,983,1,0
967,984,1,0
968,985,1,0
969,986,1,0
970,987,2,0
971,988,2,0
972,989,3,1
973,990,6,0
974,991,3,0
975,992,2,0
976,993,2,0
977,994,2,0
978,995,2,1
979,996,2,0
980,997,2,0
981,998,2,0
982,999,1,0
983,1000,4,0
984,1001,1,0
985,1002,3,0
986,1003,2,0
987,1004,2,0
988,1005,1,0
989,1006,5,1
990,1007,2,0
991,1008,4,0
992,1009,1,0
993,1010,4,0
994,1011,2,0
995,1012,2,0
996,1013,1,1
997,1015,4,0
998,1016,1,0
999,1017,2,0
1000,1018,3,1
1001,1019,4,0
1002,1020,2,1
1003,1023,3,1
1004,1024,3,0
1005,1025,2,0
1006,1026,1,0
1007,1027,3,0
1008,1028,4,0
1009,1029,7,1
1010,1030,4,0
1011,1031,3,0
1012,1032,1,0
1013,1033,2,0
1014,1034,2,0
1015,1035,1,0
1016,1036,3,1
1017,1037,1,0
1018,1039,5,0
1019,1040,4,0
1020,1041,1,0
1021,1042,1,0
1022,1043,2,0
1023,1044,1,0
1024,1046,2,1
1025,1047,1,0
1026,1048,6,0
1027,1049,2,1
1028,1051,1,1
1029,1052,1,0
1030,1053,1,0
1031,1055,3,0
1032,1056,1,0
1033,1057,1,0
1034,1059,3,0
1035,1060,2,0
1036,1062,3,0
1037,1063,1,1
1038,1064,2,1
1039,1065,2,0
1040,1066,1,1
1041,1067,2,0
1042,1068,3,0
1043,1069,2,0
1044,1070,2,0
1045,1071,1,0
1046,1072,4,0
1047,1073,2,0
1048,1074,2,0
1049,1075,3,0
1050,1077,2,0
1051,1080,2,0
1052,1081,1,0
1053,1082,2,0
1054,1083,1,0
1055,1084,3,0
1056,1085,3,0
1057,1086,4,1
1058,1088,4,1
1059,1089,1,1
1060,1090,1,0
1061,1091,3,0
1062,1092,2,0
1063,1093,1,0
1064,1094,4,0
1065,1095,1,0
1066,1096,3,0
1067,1098,6,1
1068,1100,2,1
1069,1103,1,0
1070,1104,3,0
1071,1105,1,0
1072,1106,3,0
1073,1107,5,1
1074,1109,1,0
1075,1110,3,0
1076,1112,1,0
1077,1114,2,0
1078,1115,2,0
1079,1116,3,0
1080,1117,3,0
1081,1118,1,0
1082,1119,6,0
1083,1120,1,0
1084,1122,2,0
1085,1123,2,0
1086,1125,1,0
1087,1126,1,1
1088,1127,1,0
1089,1128,1,0
1090,1130,1,0
1091,1131,5,0
1092,1132,1,0
1093,1133,1,0
1094,1134,1,0
1095,1135,2,0
1096,1136,3,0
1097,1137,1,0
1098,1138,1,0
1099,1139,1,0
1100,1140,3,0
1101,1141,1,0
1102,1143,3,1
1103,1144,1,0
1104,1145,1,0
1105,1147,1,0
1106,1148,2,0
1107,1149,3,0
1108,1151,1,1
1109,1152,4,1
1110,1153,4,0
1111,1154,4,0
1112,1155,3,0
1113,1156,1,0
1114,1157,2,0
1115,1158,1,0
1116,1159,2,0
1117,1160,3,0
1118,1161,3,0
1119,1162,1,0
1120,1164,3,0
1121,1165,3,1
1122,1166,3,0
1123,1167,2,0
1124,1168,2,1
1125,1169,2,0
1126,1171,1,0
1127,1172,1,0
1128,1173,5,0
1129,1174,3,1
1130,1175,1,0
1131,1176,2,1
1132,1177,1,0
1133,1178,2,1
1134,1179,2,0
1135,1180,3,0
1136,1182,1,1
1137,1184,2,0
1138,1185,2,0
1139,1186,2,0
1140,1187,3,0
1141,1189,1,0
1142,1190,1,1
1143,1191,4,0
1144,1192,3,0
1145,1193,1,0
1146,1194,1,0
1147,1195,5,1
1148,1198,1,0
1149,1199,2,0
1150,1201,1,1
1151,1202,1,0
1152,1203,2,0
1153,1204,1,0
1154,1205,1,0
1155,1206,2,1
1156,1207,1,0
1157,1209,1,0
1158,1210,3,0
1159,1211,3,1
1160,1212,1,0
1161,1214,1,0
1162,1215,1,0
1163,1216,2,0
1164,1217,4,0
1165,1219,1,0
1166,1220,2,1
1167,1221,4,0
1168,1222,1,0
1169,1223,2,0
1170,1224,2,0
1171,1225,1,0
1172,1226,1,0
1173,1227,2,0
1174,1228,1,0
1175,1229,2,0
1176,1230,1,0
1177,1231,5,2
1178,1232,5,1
1179,1233,1,0
1180,1234,4,1
1181,1235,1,0
1182,1237,2,0
1183,1238,2,0
1184,1239,1,0
1185,1240,3,0
1186,1241,3,2
1187,1242,6,1
1188,1243,4,0
1189,1244,3,0
1190,1245,1,0
1191,1246,3,1
1192,1248,2,0
1193,1249,3,0
1194,1251,1,0
1195,1252,1,0
1196,1255,3,0
1197,1256,3,1
1198,1257,2,0
1199,1259,3,0
1200,1260,1,0
1201,1262,1,1
1202,1263,2,0
1203,1264,3,0
1204,1265,3,1
1205,1266,1,1
1206,1267,2,0
1207,1268,1,0
1208,1270,1,0
1209,1271,1,0
1210,1272,1,0
1211,1273,3,0
1212,1274,2,0
1213,1275,3,0
1214,1276,1,0
1215,1277,2,0
1216,1278,1,0
1217,1279,4,0
1218,1280,1,0
1219,1281,1,0
1220,1282,3,0
1221,1283,1,0
1222,1284,1,0
1223,1285,1,0
1224,1287,1,0
1225,1288,1,0
1226,1289,2,0
1227,1290,4,2
1228,1291,2,1
1229,1292,1,0
1230,1293,2,0
1231,1294,3,1
1232,1295,3,0
